original_brand,original_campaign,group_key,year,month,family,budget,sales,match_quality,sample_is_valid,roas
teka,AON TEKA FEBRERO 2026,CRM,2026,2,ELECTROHOGAR,2100000.0,32772466.0,exact,True,15.605936190476191
TEKA,electroweek_marzo_2026,Sponsored Products,2026,2,ELECTROHOGAR,500000.0,3702790.0,exact,True,7.40558
thomas,AON ABRIL THOMAS ELECTRODOMESTICOS 2026,CRM,2026,4,ELECTROHOGAR,1200000.0,19456188.0,exact,True,16.21349
THOMAS,aon_abril_thomas_electrodomesticos_2026,Sponsored Products,2026,4,ELECTROHOGAR,1500000.0,8581830.0,exact,True,5.72122
THOMAS,aon_febrero_thomas_electro_2026,Sponsored Products,2026,2,ELECTROHOGAR,1500000.0,23364485.0,exact,True,15.576323333333333
THOMAS,aon_febrero_thomas_lb_2026,Sponsored Products,2026,2,ELECTROHOGAR,1000000.0,2522910.0,exact,True,2.52291
thomas,AON MARZO THOMAS ELECTRODOMESTICOS 2026,CRM,2026,3,ELECTROHOGAR,1500000.0,58882960.0,exact,True,39.25530666666667
THOMAS,aon_marzo_thomas_electrodomesticos_2026,Sponsored Products,2026,3,ELECTROHOGAR,1500000.0,17321540.0,exact,True,11.547693333333333
thomas,AON MARZO THOMAS LB 2026,CRM,2026,3,ELECTROHOGAR,1200000.0,57033120.0,exact,True,47.5276
THOMAS,aon_marzo_thomas_lb_2026,Sponsored Products,2026,3,ELECTROHOGAR,700000.0,7569820.0,exact,True,10.81402857142857
thomas,ELECTROWEEK THOMAS ELECTRODOMESTICOS 2026,CRM,2026,2,ELECTROHOGAR,1500000.0,26786228.0,exact,True,17.857485333333333
toyotomi,AON ABRIL TOYOTOMI,CRM,2026,4,ELECTROHOGAR,1200000.0,54512894.0,exact,True,45.427411666666664
TOYOTOMI,aon_febrero_2026_ac,Sponsored Products,2026,2,ELECTROHOGAR,200000.0,659980.0,exact,True,3.2999
TOYOTOMI,aon_marzo_toyotomi_2026,Sponsored Products,2026,3,ELECTROHOGAR,300000.0,1119930.0,exact,True,3.7331
toyotomi,AON MAYO TOYOTOMI 2026,CRM,2026,5,ELECTROHOGAR,1200000.0,37760733.0,exact,True,31.4672775
TOYOTOMI,electroweek_toyotomi_electrodomesticos_2026,Sponsored Products,2026,2,ELECTROHOGAR,100000.0,149990.0,exact,True,1.4999
toyotomi,RELANZAMIENTO TOYOTOMI,CRM,2026,5,ELECTROHOGAR,0.0,27120107.0,exact,False,
toyotomi,relanzamiento_toyotomi,Google,2026,5,ELECTROHOGAR,5351973.0,37831745.0,exact,True,7.068747357283006
toyotomi,relanzamiento_toyotomi,Retail Display,2026,5,ELECTROHOGAR,900000.0,0.0,exact,True,0.0
tuhome,AON ABRIL TUHOME MUEBLES 2026,CRM,2026,4,BANOS Y COCINAS,1000000.0,2783495.0,exact,True,2.783495
tuhome,AON Diciembre,CRM,2025,12,MUEBLES,2050000.0,1087071.0,exact,True,0.5302785365853658
tuhome,AON Enero Muebles,CRM,2026,1,MUEBLES,1200000.0,2270640.0,exact,True,1.8922
tuhome,AON Febrero Muebles 2026,CRM,2026,2,MUEBLES,1200000.0,10251593.0,exact,True,8.542994166666666
TUHOME,aon_marzo_2026_bano_y_cocina,Sponsored Products,2026,3,BANOS Y COCINAS,300000.0,1669810.0,exact,True,5.566033333333333
TUHOME,aon_marzo_2026_muebles,Sponsored Products,2026,3,MUEBLES,400000.0,2330790.0,exact,True,5.826975
tx,Email - Catalogo Mes del Maestro,CRM,2026,3,OBRA GRUESA,0.0,85905.0,exact,False,
tx,tactico_febrero,Retail Display,2026,2,OBRA GRUESA,130000.0,0.0,exact,True,0.0
TX,tactico_febrero,Sponsored Products,2026,2,OBRA GRUESA,250000.0,1204530.0,exact,True,4.81812
ursus_trotter,aon_febrero_electrodomesticos_2026,Retail Display,2026,2,ELECTROHOGAR,600000.0,0.0,exact,True,0.0
URSUS TROTTER,aon_febrero_electrodomesticos_2026,Sponsored Products,2026,2,ELECTROHOGAR,900000.0,12701800.0,exact,True,14.113111111111111
ursus trotter,AON MARZO URSUS TROTTER 2026,CRM,2026,3,ELECTROHOGAR,700000.0,31661085.0,exact,True,45.23012142857143
URSUS TROTTER,aon_marzo_ursus_trotter_2026,Sponsored Products,2026,3,ELECTROHOGAR,300000.0,9791070.0,exact,True,32.6369
van beek,Venta Final Enero 2026,CRM,2026,1,JARDIN,550000.0,0.0,exact,True,0.0
vekkahome,aon_abril_vekka_chile_2026,CRM,2026,4,BANOS Y COCINAS,800000.0,11123206.0,exact,True,13.9040075
vekkahome,AON ABRIL VEKKA HOME 2026,CRM,2026,4,MUEBLES,1200000.0,5339240.0,exact,True,4.449366666666666
vekkahome,AON Enero,CRM,2026,1,MUEBLES,1200000.0,10776813.0,exact,True,8.9806775
VEKKAHOME,aon_febrero_bano_y_cocina_2026,Sponsored Products,2026,2,BANOS Y COCINAS,500000.0,4852830.0,exact,True,9.70566
vekkahome,AON Febrero Muebles 2026,CRM,2026,2,MUEBLES,1200000.0,17084434.0,exact,True,14.237028333333333
VEKKAHOME,aon_febrero_muebles_2026,Sponsored Products,2026,2,MUEBLES,500000.0,11481530.0,exact,True,22.96306
VEKKAHOME,aon_marzo_2026_bano_y_cocina,Sponsored Products,2026,3,BANOS Y COCINAS,300000.0,6248130.0,exact,True,20.8271
vekkahome,AON Marzo 2026 Muebles,CRM,2026,3,MUEBLES,1200000.0,9273932.0,exact,True,7.728276666666667
VEKKAHOME,aon_marzo_2026_muebles,Sponsored Products,2026,3,MUEBLES,500000.0,11599270.0,exact,True,23.19854
vekkahome,AON MAYO VEKKAHOME MUEBLES 2026,CRM,2026,5,MUEBLES,1200000.0,5374538.0,exact,True,4.478781666666666
VENTUS,aon_marzo_ventus_2026,Sponsored Products,2026,3,ELECTROHOGAR,400000.0,2074930.0,exact,True,5.187325
VENTUS,aon_ventus_febrero,Sponsored Products,2026,2,ELECTROHOGAR,500000.0,13548740.0,exact,True,27.09748
VILEDA,aon_febrero_2026,Sponsored Products,2026,2,ASEO,300000.0,233940.0,exact,True,0.7798
VILEDA,aon_marzo_2026,Sponsored Products,2026,3,ASEO,145181.0,535450.0,exact,True,3.688154786094599
vileda,Black Marzo 2026,CRM,2026,4,ASEO,1200000.0,1955290.0,exact,True,1.6294083333333333
volcan,Black Marzo 2026,CRM,2026,4,TABIQUERIA/TECHUMBRE/AISLACION,2100000.0,17569900.0,exact,True,8.366619047619048
volcan,Campaña Hazlo Todo con Volcan,CRM,2026,3,TABIQUERIA/TECHUMBRE/AISLACION,4700000.0,74346314.0,exact,True,15.818364680851063
volcan,Campaña Hazlo Todo con Volcan,CRM,2026,4,TABIQUERIA/TECHUMBRE/AISLACION,3000000.0,101894645.0,exact,True,33.96488166666666
yunque,AON MARZO YUNQUE 2026,CRM,2026,3,ELECTROHOGAR,700000.0,7104092.0,exact,True,10.148702857142856
YUNQUE,aon_marzo_yunque_2026,Sponsored Products,2026,3,ELECTROHOGAR,300000.0,6104840.0,exact,True,20.349466666666668
,AON TAJAMAR 2026,CRM,2026,1,MADERA Y TABLEROS,2900000.0,0.0,probable,True,0.0
,Black Marzo 2026,CRM,2026,4,MADERA Y TABLEROS,1800000.0,0.0,probable,True,0.0
,Push Flobal,CRM,2026,3,MADERA Y TABLEROS,2900000.0,0.0,probable,True,0.0
,sin campaña,CRM,2025,12,,,0.0,unmatched,False,
,TACTCIO MARZO TAJAMAR 2026,CRM,2026,3,MADERA Y TABLEROS,2900000.0,0.0,probable,True,0.0
,Venta Final Enero 2026,CRM,2026,2,MADERA Y TABLEROS,1700000.0,0.0,probable,True,0.0
3m,,Otros,2026,5,FERRETERIA,2000000.0,0.0,probable,False,0.0
3m,6189516-009379,CRM,2023,5,,,11374842.0,unmatched,False,
3m,6189516-010187,CRM,2023,7,,,5184602.0,unmatched,False,
3m,6189516-010315,CRM,2023,7,,,3527228.0,unmatched,False,
3m,6189516-010432,CRM,2023,8,,,2602167.0,unmatched,False,
3m,6189516-010517,CRM,2023,8,,,4087349.0,unmatched,False,
3m,6189516-010670,CRM,2023,8,,,3388824.0,unmatched,False,
3m,6189516-011796,CRM,2023,11,,,1981412.0,unmatched,False,
3m,aon_marzo,Retail Display,2026,4,,,0.0,unmatched,False,
3m,awt7IQbdx,CRM,2024,1,,,5250484.0,unmatched,False,
3m,black_week,Retail Display,2026,3,FERRETERIA,200000.0,0.0,probable,True,0.0
3m,black_week,Retail Display,2026,4,,,0.0,unmatched,False,
3M,black_week,Sponsored Products,2026,3,FERRETERIA,154659.0,4580.0,probable,True,0.029613536877905584
