brand_key,campaign_key,group_key,year,month,original_brand,original_campaign,impressions,reach,clicks,sales,performance_rows,family,original_registry_brand,original_registry_campaign,budget,cost,contribution,registry_rows,match_quality,probable_registry_campaign_key,candidate_count,ctr,reach_rate,roas,cpm,cpc,margin_rate,sample_is_valid
midea,aon midea lb enero,CRM,2026,1,midea,AON MIDEA LB ENERO,0.0,432708.0,0.0,63201668.0,2,ELECTROHOGAR,MIDEA,AON MIDEA LB ENERO,1380000.0,110344.0,1269656.0,2.0,exact,,,,,45.798310144927534,,,0.920040579710145,True
midea,aon midea lb enero,Google,2026,1,midea,aon_midea_lb_enero,364086.0,0.0,7011.0,9954764.0,10,ELECTROHOGAR,MIDEA,AON MIDEA LB ENERO,1000000.0,0.0,1000000.0,1.0,exact,,,1.9256439412666237,0.0,9.954764,2746.603824371165,142.6330052774212,1.0,True
midea,tactico midea refri enero,Retail Display,2026,1,midea,tactico_midea_refri_enero,115388.0,0.0,186.0,0.0,11,ELECTROHOGAR,MIDEA,TACTICO MIDEA REFRI ENERO,1500000.0,240000.0,1260000.0,2.0,exact,,,0.16119527160536623,0.0,0.0,12999.618677852115,8064.5161290322585,0.84,True
neox ceramica,aon marzo 2026,Sponsored Products,2026,3,NEOX CERAMICA,aon_marzo_2026,24754.0,0.0,834.0,1156380.0,1,PISOS Y MUROS,NEOX CERAMICA,AON MARZO 2026,250000.0,206000.0,44000.0,1.0,exact,,,3.3691524602084515,0.0,4.62552,10099.377878322695,299.7601918465228,0.176,True
neox ceramica,tactico febrero 2026,Sponsored Products,2026,2,NEOX CERAMICA,tactico_febrero_2026,19901.0,0.0,634.0,253286.0,1,PISOS Y MUROS,NEOX CERAMICA,TACTICO FEBRERO 2026,250000.0,206000.0,44000.0,1.0,exact,,,3.185769559318627,0.0,1.013144,12562.182804884176,394.3217665615142,0.176,True
ninja,aon marzo ninja 2026,Sponsored Products,2026,3,NINJA,aon_marzo_ninja_2026,64939.0,0.0,2480.0,9432320.0,1,ELECTROHOGAR,NINJA,AON MARZO NINJA 2026,300000.0,247200.0,52800.0,1.0,exact,,,3.8189685705046275,0.0,31.441066666666668,4619.7200449652755,120.96774193548387,0.176,True
ninja,aon ninja 2026,Sponsored Products,2026,2,NINJA,aon_ninja_2026,42965.0,0.0,1726.0,5649550.0,1,ELECTROHOGAR,NINJA,AON NINJA 2026,300000.0,247200.0,52800.0,1.0,exact,,,4.017223321308042,0.0,18.831833333333332,6982.427557314093,173.81228273464657,0.176,True
ninja,electroweek marzo 2026,Sponsored Products,2026,2,NINJA,electroweek_marzo_2026,37705.0,0.0,1055.0,3176146.0,1,ELECTROHOGAR,NINJA,ELECTROWEEK MARZO 2026,430000.0,354320.0,75680.0,1.0,exact,,,2.798037395570879,0.0,7.386386046511628,11404.323034080362,407.58293838862556,0.176,True
odis,casa segura,CRM,2026,1,odis,Casa Segura,0.0,1013955.0,4655.0,50405045.0,2,FERRETERIA,ODIS,Casa Segura,450000.0,55172.0,394828.0,1.0,exact,,,,,112.01121111111111,,96.6702470461869,0.8773955555555556,True
oster,aon abril oster 2026,CRM,2026,4,oster,AON ABRIL OSTER 2026,0.0,329366.0,0.0,6053330.0,1,ELECTROHOGAR,OSTER,AON ABRIL OSTER 2026,750000.0,27586.0,722414.0,2.0,exact,,,,,8.071106666666667,,,0.9632186666666667,True
oster,aon marzo oster 2026,Sponsored Products,2026,3,OSTER,aon_marzo_oster_2026,156183.0,0.0,3389.0,3608810.0,1,ELECTROHOGAR,OSTER,AON MARZO OSTER 2026,250000.0,206000.0,44000.0,1.0,exact,,,2.1698904490245416,0.0,14.43524,1600.6863743173071,73.7680731779286,0.176,True
oster,aon mayo oster 2026,CRM,2026,5,oster,AON MAYO OSTER 2026,0.0,333574.0,0.0,1961536.0,1,ELECTROHOGAR,OSTER,AON MAYO OSTER 2026,800000.0,61538.0,738462.0,1.0,exact,,,,,2.45192,,,0.9230775,True
oster,aon oster 2026,CRM,2026,1,oster,aon_oster_2026,0.0,2824.0,0.0,0.0,4,ELECTROHOGAR,OSTER,AON OSTER 2026,750000.0,0.0,750000.0,1.0,exact,,,,,0.0,,,1.0,True
oster,aon oster 2026,CRM,2026,2,oster,aon_oster_2026,0.0,28424.0,0.0,2291788.0,28,ELECTROHOGAR,OSTER,AON OSTER 2026,750000.0,0.0,750000.0,1.0,exact,,,,,3.0557173333333334,,,1.0,True
oster,aon oster 2026,Sponsored Products,2026,2,OSTER,aon_oster_2026,91356.0,0.0,1980.0,1940860.0,1,ELECTROHOGAR,OSTER,AON OSTER 2026,250000.0,206000.0,44000.0,1.0,exact,,,2.16734533035597,0.0,7.76344,2736.5471342878413,126.26262626262626,0.176,True
